1. Âge :,2. Genre :,3. Dans quelle région êtes-vous basé(e) ?,4. Profession : ,5. A quel type d'établissement appartenez-vous ?,6. Niveau déducation  :,7. Votre moyenne l'année précédente :,1. Avez-vous déjà entendu parler de l'intelligence artificielle (IA) ?,2. Comment évalueriez-vous votre niveau de connaissance de l'IA ?,3. Avez-vous suivi une formation ou un cours sur l'IA ?,"1. Êtes-vous satisfait(e) de la qualité de l’enseignement dans votre établissement (lycée, collège ou faculté) ?     ",2. À quel niveau l’IA est-elle utilisée dans votre environnement éducatif ?,"3. Sur une échelle de 1 à 5, pensez-vous que l’IA améliore la qualité de l’éducation?",4. Quels outils d’IA utilisez-vous pour préparer vos cours ou évaluer les élèves ?(Pour Enseignant),5. Comment percevez-vous l’impact de l’IA sur la méthode d’enseignement ? ,"1. Quels avantages voyez-vous dans l’utilisation de l’IA dans l’éducation ?",2. Avez-vous déjà utilisé un outil d’IA pour compléter un projet académique?,"3. Quels risques pensez-vous que l’IA peut apporter dans l’éducation ?",4.  Avez-vous déjà utilisé un outil d’IA pour obtenir des réponses pendant un examen?
18-25 ans,Masculin,Here,Étudiant(e),Public,Ingénieurie,11,Oui,Connaissance intermédiaire,Oui,Non,Très peu ou pas utilisée,2.56869718908962,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Oui,Dépendance à la technologie.,Non
18-25 ans,Féminin,Grand Tunis ,Étudiant(e),Public,Ingénieurie,11,Oui,Connaissance de base,Oui,Non,Très peu ou pas utilisée,2.27148531728337,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Oui,"Perte de créativité chez les élèves., Dépendance à la technologie., Remplacement partiel des enseignants.",Non
Plus de 45 ans,Masculin,Gafsa,Enseignant(e),Public,Universitaire (Licence),11,Oui,Aucune connaissance,Non,Moyennement,Très peu ou pas utilisée,1.35741066649609,Autre,Positif,Automatisation des tâches répétitives pour les enseignants,Non,Remplacement partiel des enseignants.,Non
18-25 ans,Masculin,Tunis,Étudiant(e),Privé,Ingénieurie,17.10,Oui,Connaissance avancée,Oui,Moyennement,Utilisée pour certaines tâches,5.98347924480532,"Correction automatique., Génération de contenu pédagogique (ex: ChatGPT)",Positif,Amélioration de l’apprentissage personnalisé.,Non,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
18-25 ans,Masculin,Tunis ,Étudiant(e),Public,Ingénieurie,13.5,Oui,Connaissance avancée,Oui,Moyennement,Utilisée pour certaines tâches,2.4387974771266,Génération de contenu pédagogique (ex: ChatGPT),Positif,Meilleure gestion administrative,Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
12-18 ans,Féminin,Nabeul,Élève,Public,Secondaire,11,Oui,Connaissance de base,Non,Non,Utilisée pour certaines tâches,3.33897938005417,Correction automatique.,Neutre,Amélioration de l’apprentissage personnalisé.,Oui,Perte de créativité chez les élèves.,Non
12-18 ans,Féminin,Nabeul,Élève,Public,Secondaire,7,Oui,Connaissance de base,Oui,Moyennement,Utilisée pour certaines tâches,3.40911478526845,Correction automatique.,Positif,Amélioration de l’apprentissage personnalisé.,Non,Perte de créativité chez les élèves.,Oui
18-25 ans,Féminin,Tunis,Étudiant(e),Public,Universitaire (Licence),17.6,Oui,Connaissance de base,Oui,Non,Très peu ou pas utilisée,5.33543895022585,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Oui
12-18 ans,Féminin,Nabeul,Élève,Public,Secondaire,11,Oui,Connaissance de base,Non,Non,Très peu ou pas utilisée,2.38178521898103,Correction automatique.,Neutre,Amélioration de l’apprentissage personnalisé.,Oui,Perte de créativité chez les élèves.,Non
18-25 ans,Féminin,Jendouba ,Étudiant(e),Public,Ingénieurie,11,Oui,Connaissance de base,Non,Moyennement,Très peu ou pas utilisée,3.36124730837721,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Automatisation des tâches répétitives pour les enseignants, Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
18-25 ans,Masculin,Gasserine,Étudiant(e),Public,Universitaire (Master),10.90,Oui,Connaissance de base,Oui,Non,Utilisée pour certaines tâches,5.44590710117559,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Oui,"Perte de créativité chez les élèves., Remplacement partiel des enseignants.",Oui
18-25 ans,Féminin,Manouba,Étudiant(e),Public,Universitaire (Licence),13,Oui,Connaissance intermédiaire,Oui,Non,Très peu ou pas utilisée,3.10365249400133,"Génération de contenu pédagogique (ex: ChatGPT), Autre",Positif,Automatisation des tâches répétitives pour les enseignants,Oui,Perte de créativité chez les élèves.,Non
36-45 ans,Féminin,Tunis,Enseignant(e),Public,Universitaire (Licence),11,Oui,Connaissance de base,Non,Oui,Très peu ou pas utilisée,3.76763064796303,Génération de contenu pédagogique (ex: ChatGPT),Positif,Meilleure gestion administrative,Non,Perte de créativité chez les élèves.,Non
12-18 ans,Féminin,Nabeul,Étudiant(e),Public,Secondaire,9.63,Oui,Aucune connaissance,Non,Non,Utilisée pour certaines tâches,3.24703863163359,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Accès à des ressources éducatives innovantes,Non,Perte de créativité chez les élèves.,Oui
12-18 ans,Féminin,Nabeul,Élève,Public,Secondaire,16,Oui,Connaissance de base,Non,Non,Très peu ou pas utilisée,5.07312815845128,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Oui,Perte de créativité chez les élèves.,Oui
18-25 ans,Féminin,Tunis,Étudiant(e),Public,Autre,10.73,Oui,Connaissance intermédiaire,Non,Moyennement,Utilisée pour certaines tâches,4.39702940611674,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Oui,Dépendance à la technologie.,Non
18-25 ans,Féminin,Gabes,Étudiant(e),Public,Universitaire (Master),11,Oui,Connaissance de base,Oui,Non,Fortement intégrée dans les programmes,2.75942855072786,Autre,Positif,"Amélioration de l’apprentissage personnalisé., Meilleure gestion administrative",Oui,Remplacement partiel des enseignants.,Oui
18-25 ans,Masculin,Bizerte ,Étudiant(e),Public,Ingénieurie,11.75,Oui,Connaissance de base,Non,Oui,Utilisée pour certaines tâches,0.359938319810691,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Non,Perte de créativité chez les élèves.,Non
18-25 ans,Féminin,Tunis,Étudiant(e),Public,Ingénieurie,14,Oui,Connaissance intermédiaire,Oui,Moyennement,Très peu ou pas utilisée,3.53048310909414,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Accès à des ressources éducatives innovantes",Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
18-25 ans,Féminin,Gafsa,Étudiant(e),Public,Ingénieurie,14.89,Oui,Connaissance intermédiaire,Oui,Moyennement,Utilisée pour certaines tâches,4.66790651109225,"Génération de contenu pédagogique (ex: ChatGPT), Autre",Positif,"Amélioration de l’apprentissage personnalisé., Automatisation des tâches répétitives pour les enseignants, Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Non,Perte de créativité chez les élèves.,Oui
18-25 ans,Féminin,Tunis,Étudiant(e),Public,Universitaire (Licence),13,Oui,Connaissance de base,Oui,Moyennement,Très peu ou pas utilisée,4.96324641173016,Génération de contenu pédagogique (ex: ChatGPT),Neutre,"Amélioration de l’apprentissage personnalisé., Automatisation des tâches répétitives pour les enseignants, Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
18-25 ans,Féminin,Tunis,Étudiant(e),Public,Universitaire (Master),13.14,Oui,Connaissance intermédiaire,Oui,Non,Utilisée pour certaines tâches,3.29174437692203,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Accès à des ressources éducatives innovantes,Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
18-25 ans,Féminin,Monastir,Étudiant(e),Public,Ingénieurie,10,Oui,Connaissance intermédiaire,Oui,Non,Fortement intégrée dans les programmes,5.95632012152522,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Oui
18-25 ans,Féminin,Tunis,Étudiant(e),Public,Universitaire (Master),13.14,Oui,Connaissance intermédiaire,Oui,Non,Utilisée pour certaines tâches,2.5735356267594,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Accès à des ressources éducatives innovantes,Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
18-25 ans,Féminin,Gafsa,Étudiant(e),Public,Ingénieurie,13.20,Oui,Connaissance de base,Non,Non,Très peu ou pas utilisée,3.50281234261193,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Amélioration de l’apprentissage personnalisé.,Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
Plus de 45 ans,Masculin,Gafsa,Enseignant(e),Public,Universitaire (Licence),11,Oui,Aucune connaissance,Non,Moyennement,Très peu ou pas utilisée,1.21308247940127,Autre,Positif,Automatisation des tâches répétitives pour les enseignants,Non,Remplacement partiel des enseignants.,Non
Plus de 45 ans,Masculin,Tunis,Adminitratif(ve),Public,Secondaire,11,Oui,Aucune connaissance,Non,Oui,Très peu ou pas utilisée,3.97884384241166,Génération de contenu pédagogique (ex: ChatGPT),Positif,Meilleure gestion administrative,Non,Perte de créativité chez les élèves.,Non
12-18 ans,Féminin,Ben Arous,Élève,Public,Secondaire,14.59,Oui,Connaissance intermédiaire,Non,Moyennement,Utilisée pour certaines tâches,1.02710349581011,"Correction automatique., Génération de contenu pédagogique (ex: ChatGPT)",Positif,Amélioration de l’apprentissage personnalisé.,Non,Dépendance à la technologie.,Non
18-25 ans,Féminin,Elkef,Étudiant(e),Public,Ingénieurie,11,Oui,Connaissance intermédiaire,Non,Oui,Utilisée pour certaines tâches,3.5853448842851,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
12-18 ans,Féminin,Beni khiar ,Élève,Public,Secondaire,Première année ,Oui,Connaissance intermédiaire,Non,Oui,Très peu ou pas utilisée,0.207379948897307,Génération de contenu pédagogique (ex: ChatGPT),Positif,Meilleure gestion administrative,Non,Dépendance à la technologie.,Oui
18-25 ans,Féminin,nabeul,Étudiant(e),Public,Ingénieurie,10.71,Oui,Connaissance de base,Non,Non,Utilisée pour certaines tâches,2.73651144537707,Autre,Neutre,Accès à des ressources éducatives innovantes,Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
18-25 ans,Féminin,Ben Arous ,Étudiant(e),Public,Universitaire (Licence),10.50,Oui,Connaissance de base,Non,Non,Très peu ou pas utilisée,3.42384924695999,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Meilleure gestion administrative,Non,Perte de créativité chez les élèves.,Non
18-25 ans,Féminin,Nabeul,Étudiant(e),Public,Ingénieurie,10.6,Oui,Connaissance intermédiaire,Non,Moyennement,Utilisée pour certaines tâches,4.10029892680525,"Correction automatique., Génération de contenu pédagogique (ex: ChatGPT)",Neutre,"Automatisation des tâches répétitives pour les enseignants, Meilleure gestion administrative",Oui,Perte de créativité chez les élèves.,Non
18-25 ans,Masculin,Tunis,Étudiant(e),Public,Ingénieurie,16,Oui,Connaissance de base,Oui,Moyennement,Utilisée pour certaines tâches,2.09305371111881,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Amélioration de l’apprentissage personnalisé.,Non,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
18-25 ans,Masculin,Tunis,Étudiant(e),Public,Ingénieurie,10,Non,Connaissance de base,Non,Moyennement,Utilisée pour certaines tâches,3.78052166503797,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Amélioration de l’apprentissage personnalisé.,Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
18-25 ans,Masculin,Tunis,Étudiant(e),Privé,Ingénieurie,17.10,Oui,Connaissance avancée,Oui,Moyennement,Utilisée pour certaines tâches,4.88358138896922,"Correction automatique., Génération de contenu pédagogique (ex: ChatGPT)",Positif,Amélioration de l’apprentissage personnalisé.,Non,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
36-45 ans,Masculin,Arianna,Enseignant(e),Public,Universitaire (maitrise informatique),11,Oui,Connaissance de base,Oui ,Oui,Très peu ou pas utilisée,4.93709979173051,Correction automatique.,Positif,"Amélioration de l’apprentissage personnalisé., Automatisation des tâches répétitives pour les enseignants",Non,Perte de créativité chez les élèves.,Non
18-25 ans,Féminin,Nabeul,Étudiant(e),Public,Ingénieurie,10.6,Oui,Connaissance intermédiaire,Non,Moyennement,Utilisée pour certaines tâches,3.93419286660769,"Correction automatique., Génération de contenu pédagogique (ex: ChatGPT)",Neutre,"Automatisation des tâches répétitives pour les enseignants, Meilleure gestion administrative",Oui,Perte de créativité chez les élèves.,Non
18-25 ans,Féminin,Nabeul,Étudiant(e),Public,Ingénieurie,10.6,Oui,Connaissance intermédiaire,Non,Moyennement,Utilisée pour certaines tâches,3.57068655521668,"Correction automatique., Génération de contenu pédagogique (ex: ChatGPT)",Neutre,"Automatisation des tâches répétitives pour les enseignants, Meilleure gestion administrative",Oui,Perte de créativité chez les élèves.,Non
12-18 ans,Féminin,Nabeul,Élève,Public,Secondaire,10.85,Oui,Connaissance de base,Oui,Moyennement,Utilisée pour certaines tâches,3.03428873466699,Correction automatique.,Positif,Accès à des ressources éducatives innovantes,Oui,Dépendance à la technologie.,Non
18-25 ans,Féminin,Gabes,Étudiant(e),Public,Ingénieurie,11,Oui,Connaissance intermédiaire,Oui,Moyennement,Fortement intégrée dans les programmes,3.06611221131083,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Oui,Perte de créativité chez les élèves.,Non
12-18 ans,Féminin,Tunis,Élève,Public,Secondaire,14.92,Oui,Connaissance de base,Non,Non,Très peu ou pas utilisée,4.91413977334413,"Correction automatique., Autre",Positif,Amélioration de l’apprentissage personnalisé.,Oui,Remplacement partiel des enseignants.,Non
18-25 ans,Féminin,Tunis,Étudiant(e),Public,Ingénieurie,9,Oui,Connaissance intermédiaire,Non,Oui,Fortement intégrée dans les programmes,2.039555668489,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Automatisation des tâches répétitives pour les enseignants,Non,Perte de créativité chez les élèves.,Non
12-18 ans,Masculin,Tunis,Élève,Public,Secondaire,15,Oui,Connaissance de base,Non,Non,Très peu ou pas utilisée,2.4686983925836,Génération de contenu pédagogique (ex: ChatGPT),Neutre,"Automatisation des tâches répétitives pour les enseignants, Meilleure gestion administrative",Oui,Dépendance à la technologie.,Non
18-25 ans,Masculin,Kairouan,Étudiant(e),Public,Ingénieurie,11,Oui,Connaissance de base,Non,Moyennement,Très peu ou pas utilisée,2.27892593978709,"Correction automatique., Génération de contenu pédagogique (ex: ChatGPT), Autre",Positif,Amélioration de l’apprentissage personnalisé.,Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
18-25 ans,Féminin,Tunis,Étudiant(e),Public,Ingénieurie,11,Oui,Connaissance intermédiaire,Non,Non,Fortement intégrée dans les programmes,4.51190571276126,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Accès à des ressources éducatives innovantes",Oui,Dépendance à la technologie.,Oui
18-25 ans,Féminin,Mahdia,Étudiant(e),Public,Autre,12:08,Oui,Connaissance de base,Oui,Oui,Utilisée pour certaines tâches,3.00894942229517,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Oui,Dépendance à la technologie.,Non
18-25 ans,Masculin,Tunis,Étudiant(e),Privé,Ingénieurie,13.71,Oui,Connaissance intermédiaire,Oui,Oui,Utilisée pour certaines tâches,4.20288203191985,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Automatisation des tâches répétitives pour les enseignants",Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Oui
12-18 ans,Féminin,Nabeul,Élève,Public,Secondaire,16,Oui,Connaissance de base,Non,Non,Très peu ou pas utilisée,5.99997567915031,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Oui,Perte de créativité chez les élèves.,Oui
18-25 ans,Masculin,Tunis,Étudiant(e),Privé,Ingénieurie,13.71,Oui,Connaissance intermédiaire,Oui,Oui,Utilisée pour certaines tâches,4.0121038713722,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Automatisation des tâches répétitives pour les enseignants",Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Oui
Plus de 45 ans,Masculin,Mahdia,Chercheur(se),Public,Universitaire (Master),11,Oui,Connaissance de base,Non,Moyennement,Très peu ou pas utilisée,3.70248743839442,Génération de contenu pédagogique (ex: ChatGPT),Négatif,"Amélioration de l’apprentissage personnalisé., Automatisation des tâches répétitives pour les enseignants, Meilleure gestion administrative",Oui,Perte de créativité chez les élèves.,Non
12-18 ans,Féminin,Nabeul ,Élève,Public,Secondaire,13.5,Oui,Connaissance de base,Oui,Moyennement,Utilisée pour certaines tâches,2.01050698702224,Génération de contenu pédagogique (ex: ChatGPT),Négatif,Amélioration de l’apprentissage personnalisé.,Oui,"Perte de créativité chez les élèves., Remplacement partiel des enseignants.",Oui
12-18 ans,Féminin,Nabeul,Étudiant(e),Public,Secondaire,9.63,Oui,Aucune connaissance,Non,Non,Utilisée pour certaines tâches,3.44076984327513,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Accès à des ressources éducatives innovantes,Non,Perte de créativité chez les élèves.,Oui
18-25 ans,Féminin,Tunis,Étudiant(e),Public,Autre,10.73,Oui,Connaissance intermédiaire,Non,Moyennement,Utilisée pour certaines tâches,3.67169614251015,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Oui,Dépendance à la technologie.,Non
18-25 ans,Masculin,Tunis,Étudiant(e),Privé,Ingénieurie,17.10,Oui,Connaissance avancée,Oui,Moyennement,Utilisée pour certaines tâches,5.14994221977207,"Correction automatique., Génération de contenu pédagogique (ex: ChatGPT)",Positif,Amélioration de l’apprentissage personnalisé.,Non,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
18-25 ans,Féminin,Nabeul,Étudiant(e),Public,Universitaire (Master),14,Oui,Connaissance intermédiaire,Oui,Non,Fortement intégrée dans les programmes,4.25975119807398,Génération de contenu pédagogique (ex: ChatGPT),Positif,Meilleure gestion administrative,Oui,Perte de créativité chez les élèves.,Non
26-35 ans,Féminin,Arianna,Adminitratif(ve),Public,Universitaire (Licence),11,Oui,Connaissance de base,Non,Moyennement,Très peu ou pas utilisée,4.87017456158189,Génération de contenu pédagogique (ex: ChatGPT),Positif,Accès à des ressources éducatives innovantes,Non,Perte de créativité chez les élèves.,Non
18-25 ans,Féminin,Monastir ,Élève,Public,Bac,15,Oui,Connaissance intermédiaire,Non,Non,Utilisée pour certaines tâches,3.98423961751202,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Oui,"Perte de créativité chez les élèves., Remplacement partiel des enseignants.",Non
18-25 ans,Féminin,Tunis,Étudiant(e),Privé,Ingénieurie,14.33,Oui,Connaissance de base,Oui,Moyennement,Utilisée pour certaines tâches,2.98547852592422,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Oui,Perte de créativité chez les élèves.,Non
18-25 ans,Féminin,Tunis,Étudiant(e),Public,Universitaire (Master),13.14,Oui,Connaissance intermédiaire,Oui,Non,Utilisée pour certaines tâches,3.06705251795145,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Accès à des ressources éducatives innovantes,Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
12-18 ans,Féminin,Nabeul,Élève,Public,Secondaire,13,Oui,Connaissance de base,Oui,Moyennement,Fortement intégrée dans les programmes,4.5389770326088,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Oui,Dépendance à la technologie.,Non
18-25 ans,Masculin,Tunis,Étudiant(e),Privé,Ingénieurie,17.10,Oui,Connaissance avancée,Oui,Moyennement,Utilisée pour certaines tâches,5.18192017906475,"Correction automatique., Génération de contenu pédagogique (ex: ChatGPT)",Positif,Amélioration de l’apprentissage personnalisé.,Non,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
18-25 ans,Féminin,Monastir ,Étudiant(e),Public,Ingénieurie,10,Oui,Connaissance intermédiaire,Oui,Non,Fortement intégrée dans les programmes,4.51947761687609,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Oui
18-25 ans,Féminin,Tunis,Étudiant(e),Public,Doctorat,10.80,Oui,Connaissance de base,Non,Non,Utilisée pour certaines tâches,2.85771857273151,Autre,Négatif,Amélioration de l’apprentissage personnalisé.,Non,Perte de créativité chez les élèves.,Oui
18-25 ans,Féminin,Manouba ,Étudiant(e),Public,Universitaire (Licence),11,Oui,Connaissance intermédiaire,Non,Moyennement,Très peu ou pas utilisée,2.16103676913923,Autre,Négatif,Accès à des ressources éducatives innovantes,Non,"Perte de créativité chez les élèves., Remplacement partiel des enseignants.",Oui
18-25 ans,Féminin,Tunis ,Étudiant(e),Public,Ingénieurie,11,Oui,Connaissance intermédiaire,Oui,Moyennement,Utilisée pour certaines tâches,4.95796899421393,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Meilleure gestion administrative,Oui,Perte de créativité chez les élèves.,Non
18-25 ans,Féminin,Jendouba ,Étudiant(e),Public,Ingénieurie,11,Oui,Connaissance de base,Non,Moyennement,Très peu ou pas utilisée,3.50948481104731,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Automatisation des tâches répétitives pour les enseignants, Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
12-18 ans,Féminin,Nabeul,Élève,Public,Secondaire,13,Oui,Connaissance de base,Oui,Moyennement,Fortement intégrée dans les programmes,3.76288810505092,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Oui,Dépendance à la technologie.,Non
12-18 ans,Féminin,Nabeul,Élève,Public,Secondaire,11,Oui,Connaissance de base,Non,Non,Très peu ou pas utilisée,3.37128561482566,Correction automatique.,Neutre,Amélioration de l’apprentissage personnalisé.,Oui,Perte de créativité chez les élèves.,Non
12-18 ans,Féminin,Nabeul,Élève,Public,Secondaire,13,Oui,Connaissance de base,Oui,Moyennement,Fortement intégrée dans les programmes,4.56920601873495,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Oui,Dépendance à la technologie.,Non
12-18 ans,Féminin,Muslims ,Élève,Public,Secondaire,15.75,Non,Aucune connaissance,Non,Moyennement,Très peu ou pas utilisée,4.41964257150906,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Accès à des ressources éducatives innovantes,Non,Remplacement partiel des enseignants.,Non
12-18 ans,Féminin,Nabeul,Élève,Public,Secondaire,13,Oui,Connaissance de base,Oui,Moyennement,Fortement intégrée dans les programmes,3.73074016961026,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Oui,Dépendance à la technologie.,Non
18-25 ans,Masculin,Tunis,Étudiant(e),Public,Universitaire (Licence),12,Oui,Connaissance avancée,Oui,Oui,Fortement intégrée dans les programmes,4.99817469083505,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Automatisation des tâches répétitives pour les enseignants, Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Oui,"Perte de créativité chez les élèves., Dépendance à la technologie., Remplacement partiel des enseignants.",Non
18-25 ans,Féminin,Tunis ,Étudiant(e),Public,Ingénieurie,11,Oui,Connaissance intermédiaire,Oui,Moyennement,Utilisée pour certaines tâches,4.1673128234827,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Meilleure gestion administrative,Oui,Perte de créativité chez les élèves.,Non
18-25 ans,Masculin,Nabeul,Étudiant(e),Public,Ingénieurie,11,Oui,Connaissance de base,Oui,Moyennement,Utilisée pour certaines tâches,4.45277956284312,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Accès à des ressources éducatives innovantes",Non,"Perte de créativité chez les élèves., Dépendance à la technologie., Remplacement partiel des enseignants.",Non
12-18 ans,Féminin,Tunis,Étudiant(e),Public,Secondaire,16,Oui,Connaissance de base,Non,Non,Très peu ou pas utilisée,1.45511803581211,Correction automatique.,Négatif,"Amélioration de l’apprentissage personnalisé., Meilleure gestion administrative",Non,"Perte de créativité chez les élèves., Dépendance à la technologie., Remplacement partiel des enseignants.",Non
18-25 ans,Féminin,Mahdia,Étudiant(e),Public,Autre,12:08,Oui,Connaissance de base,Oui,Oui,Utilisée pour certaines tâches,4.29009451633777,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Oui,Dépendance à la technologie.,Non
Plus de 45 ans,Féminin,Arianna,Adminitratif(ve),Public,Secondaire,11,Oui,Connaissance de base,Non,Moyennement,Très peu ou pas utilisée,4.89335416491914,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Oui,Dépendance à la technologie.,Non
18-25 ans,Masculin,Gafsa,Étudiant(e),Public,Ingénieurie,11.60,Oui,Connaissance de base,Oui,Oui,Fortement intégrée dans les programmes,4.47802733424041,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Automatisation des tâches répétitives pour les enseignants, Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Oui,Remplacement partiel des enseignants.,Non
18-25 ans,Féminin,Tunis ,Étudiant(e),Public,Ingénieurie,11,Oui,Connaissance intermédiaire,Oui,Moyennement,Utilisée pour certaines tâches,3.9841493273564,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Meilleure gestion administrative,Oui,Perte de créativité chez les élèves.,Non
18-25 ans,Féminin,Nabeul ,Étudiant(e),Public,Ingénieurie,14,Oui,Connaissance de base,Non,Moyennement,Très peu ou pas utilisée,3.86573903981691,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Accès à des ressources éducatives innovantes,Oui,Perte de créativité chez les élèves.,Non
18-25 ans,Féminin,Tunis ,Étudiant(e),Public,Ingénieurie,14.2,Oui,Connaissance de base,Non,Moyennement,Très peu ou pas utilisée,2.1886722723314,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Oui,Perte de créativité chez les élèves.,Non
18-25 ans,Féminin,Jendouba ,Étudiant(e),Public,Ingénieurie,11,Oui,Connaissance de base,Oui,Moyennement,Utilisée pour certaines tâches,3.99268035339943,Génération de contenu pédagogique (ex: ChatGPT),Positif,Accès à des ressources éducatives innovantes,Oui,Remplacement partiel des enseignants.,Oui
26-35 ans,Féminin,Arianna,Enseignant(e),Public,Universitaire (Licence),11,Oui,Aucune connaissance,Non,Non,Très peu ou pas utilisée,3.21357873412192,Autre,Positif,Amélioration de l’apprentissage personnalisé.,Non,Remplacement partiel des enseignants.,Non
